contract addresses and deployment tx hashes:
mnist_v1_sop7_subsop4 deployed at addr=0x008bc6d1a4f8a868e91019414c26082db8097e9eca00a8eb8eb96fb144393375 with tx_hash=0x70e288ea615135865be06f50a8f76cb65c4ba80635c024e61a39d2e4e945271
mnist_v1_sop7_subsop5 deployed at addr=0x0407f3d756e7c61f68fcfad35dada79eb51f16586965c8e3d6e8ca523d71dae0 with tx_hash=0x6e7f86d0be594e4bbb28a0dd877ce70ac870d9d74c84b347db797b5b0af4fd
mnist_v1_sop7_subsop6 deployed at addr=0x071e5fe77abca670318ad8ad9b0ba63f5cb28216bf579ee7cc33d799f95845e0 with tx_hash=0x6104e6016139b6f72bb791ae934a95314fb1730a8ece04602d9083079dcaa13
mnist_v1_sop7_subsop7 deployed at addr=0x02689e859042cacb6e62379439f98f164929af09de143e1aad3afab49b822915 with tx_hash=0x6e6178ff0fdbb2daa962d09c5ad9e18c9c635f0bfefd4a3fb4afa5de60f0ff0
mnist_v1_sop8 deployed at addr=0x05144a07abfe62bb127381ff7e0d1e42f51c2c4d9ba501e3dda09a4fd1538939 with tx_hash=0x1c21d4d77d5e23c712353f201f9f0904a44905ee13ae46b631281adcf6eaf1d
mnist_v1_sop8_subsop0 deployed at addr=0x04d656a336e56832e0c492da731de7e6ccbc98c2853116b25dea1a71d9ef0a69 with tx_hash=0x4e7ea8ad8cc492c7d2a03eb15d68491a47610db02f852c5e178dac9be9c4df9
mnist_v1_sop8_subsop1 deployed at addr=0x019684294e1ac4ce10503dfa24a6df485a4c74e7578352ccf8cc6fb5d5dc4a00 with tx_hash=0x458ce0b99df2a14f607acd2ebbcbdd8198d53e8c9a3120c306d8151086a7e48
mnist_v1_sop8_subsop2 deployed at addr=0x05e053a7f3cb0f69a910583efa3a776a29d9c03beb93e5a6dffc09be9e3cce39 with tx_hash=0x42b29c2ba7ed0f343f37fdedd2ee2d0c31bb4e80feb9cf379da54988a8b168d
mnist_v1_sop8_subsop3 deployed at addr=0x05a0ea2be74c6e9ecb8f5a9257db3e4fab87f0e95de78a3ee8a3ca817d8bde99 with tx_hash=0x45bc499da8f3dfcb904e02b52302768caaa37e8c20fa09c10bd4a8f516fb3f5
mnist_v1_sop8_subsop4 deployed at addr=0x0670387508ca004f89e01c2d51b594287b757bbaefdff4c0f4d2aa9285bf89a4 with tx_hash=0x478780b82d786e9c2acd0e08888cad488207ab8b8bbd593d5f00b4b56ff72f0
mnist_v1_sop8_subsop5 deployed at addr=0x019992315153a6087fa7d73b31649de23e07b9b9d474e91539bd550e0d2e4a42 with tx_hash=0x71b8c508f47c7d91b21971f63f6ad898526afbcfbd8116d0b4e9ef8abaa3cb6
mnist_v1_sop8_subsop6 deployed at addr=0x05afca66329ca48da2a88426e0dcd0ea939f5fe31c20341c52875bca2accf672 with tx_hash=0x7039f94c2d3b592fca37213cf813ad55a35d3dc9817f644c85828312518486c
mnist_v1_sop8_subsop7 deployed at addr=0x048fd7ae810df5f648db1ab6d85461b2564269f569a34fcf901e16c387312b79 with tx_hash=0x1ff1da79d6c3a762a30e1ee5273f5b803032a500797de5c94b398127f9e6a14
mnist_v1_sop9 deployed at addr=0x05991437e8ede0ad0f8efd7bda42626a4749df57a4b25f6c7a7db90f48ca0c26 with tx_hash=0x27a37708af710f95e985fda9c2419b40f8d0db41123176affbd9bd6c574e4ac
mnist_v1_sop9_subsop0 deployed at addr=0x0572a05544e42151d9cfc2591d77f3174b680bfbaaeeeb827a39abc53e6a06f6 with tx_hash=0x512a8cea147345fd88de5effd792823fef3cbf649fc7f658798d322b141e175
mnist_v1_sop9_subsop1 deployed at addr=0x0684a2768f391e9024e6d7168c96ba8b07bc3bf85b8f2b12c157d679d4dc5689 with tx_hash=0x3cc3e8d465e5c2612def37ec11f50ef8a063a75d84a6966f49ef96d41030a19
mnist_v1_sop9_subsop2 deployed at addr=0x0433132fc52475d355032a57f07cc936ad969175f08a41187358b03659129d2f with tx_hash=0x4bcc9f542e6adc2cd52cf1c193fb5d665700ba2d040aba1116d1c030a4ab617
